BSMAS1,BSMAS2,BSMAS3,BSMAS4,BSMAS5,BSMAS6,BSMAS1_2,BSMAS2_2,BSMAS3_2,BSMAS4_2,BSMAS5_2,BSMAS6_2,Active1,InfoSup1,PosRef1,Planning1,EmoSup1,Venting1,Humour1,Acceptance1,Religion1,SelfBlame1,SelfDistract1,Denial1,SubsAbuse1,BehavDiseng1,Active2,InfoSup2,PosRef2,Planning2,EmoSup2,Venting2,Humour2,Acceptance2,Religion2,SelfBlame2,SelfDistract2,Denial2,SubsAbuse2,BehavDiseng2
0,0.29569116441467325,0.1543326270550458,0.06877736711272887,0.07087136728395871,0.01672426474503981,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0.29569116441467325,0,0.21508756556398106,0.052546073977551074,0.03885898904187701,0,0.025829337114168856,0.09460444766476762,0,0,0,0.001543333478185486,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0.02006657031617047,-0,0,0,0,-0,0
0.1543326270550458,0.21508756556398106,0,0.15147280139752445,0.1425073115601158,0.039585363777437,0,0,0.10570925347247959,0,0,0,0,0.04547960022002483,0,0,0,0.07309551468596381,-0,0,-0,0,0,0.019579184111759986,-0,0.016576617401346944,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0.06877736711272887,0.052546073977551074,0.15147280139752445,0,0.17876038128241967,0.09680785852309869,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0.07087136728395871,0.03885898904187701,0.1425073115601158,0.17876038128241967,0,0.2062387401116261,0,0,0.008965477815713668,0,0.09146559115307396,0,0,0.01590960496888966,0,0,0,0.1013479932740973,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0.01672426474503981,0,0.039585363777437,0.09680785852309869,0.2062387401116261,0,0.03255764732988401,0.0011782659785972015,0,0,0.04599359235481183,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0,0.025829337114168856,0,0,0,0.03255764732988401,0,0.28450973147112096,0.10918516355907014,0.07588083828936282,0.18741072495003863,0.042321306211689405,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0,0.09460444766476762,0,0,0,0.0011782659785972015,0.28450973147112096,0,0.2303240948915216,0.0896333216020835,0.10893605724893309,0.15500653252284155,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0,0,0.10570925347247959,0,0.008965477815713668,0,0.10918516355907014,0.2303240948915216,0,0,0.08418659897466385,0.032805694028374334,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0.06610019035542096,0.05251357543035819,-0,0
0,0,0,0,0,0,0.07588083828936282,0.0896333216020835,0,0,0.18565350828328891,0.11617105237802255,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0,0,0,0,0.09146559115307396,0.04599359235481183,0.18741072495003863,0.10893605724893309,0.08418659897466385,0.18565350828328891,0,0.13864306849180136,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.028857570051246836,-0,0
0,0.001543333478185486,0,0,0,0,0.042321306211689405,0.15500653252284155,0.032805694028374334,0.11617105237802255,0.13864306849180136,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0.009600371697355317,-0,0,-0,0,0,0.1499343801952075,-0,0.031244166657146393
0,0,0,0,0,0,0,0,0,0,0,0,0,0.06790625554597261,0.1647931982813345,0.291318694205352,0,0,-0,0.06385238021474722,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
0,0,0.04547960022002483,0,0.01590960496888966,0,0,0,0,0,0,0,0.06790625554597261,0,0.0121977158896189,0.07427130513861618,0.43654483840958475,0.12376091339433591,-0,0,-0,0,0,0,-0,0,0,0.03875096009419303,0,0,0,0,-0,0,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.1647931982813345,0.0121977158896189,0,0.08564754299767682,0.07213053580354722,0,-0,0.025557154120072242,-0,0,0,0,-0,0,0,0,0.08157050430804376,0,0,0,-0,0,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.291318694205352,0.07427130513861618,0.08564754299767682,0,0,0,-0,0.03175775418776326,-0,0,0,0,-0,0,0,0,0,0.0075610518382495115,0,0,-0,0,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.43654483840958475,0.07213053580354722,0,0,0.05815359127839179,-0,0,-0,0,0,0,-0,0,0,0.04521420230926597,0,0,0.07864390179247947,0,-0,0,-0,0,0,0,-0,0
0,0,0.07309551468596381,0,0.1013479932740973,0,0,0,0,0,0,0,0,0.12376091339433591,0,0,0.05815359127839179,0,-0,0,-0,0.05837865925918044,0,0,-0,0,0,0,0,0,0,0.01840055990917797,-0,0,-0,0,0,0,-0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.11905629927944471,-0,-0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0.06385238021474722,0,0.025557154120072242,0.03175775418776326,0,0,-0,0,-0,0,0.10163771965438635,0,-0,0,0,0,0,0,0,0,-0,0.15033117846245225,-0,0,0,0,-0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.40911713047457987,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05837865925918044,-0,0,-0,0,0.06421686214936873,0,-0,0.19552906930833697,0,0,0,0,0,0,-0,0,-0,0.17541560451364246,0,0,-0,0.07219052171821665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0.10163771965438635,-0,0.06421686214936873,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0.14388429665635644,0,-0,0
0,0,0.019579184111759986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0.047669403585957816,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.3238985019750325,-0
0,0,0.016576617401346944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0.19552906930833697,0,0.047669403585957816,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0.03866578926331611
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0.019941278267240372,0,0.37793518921793867,0.056019553179309865,0,-0,0.01999601868295847,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.03875096009419303,0,0,0.04521420230926597,0,-0,0,-0,0,0,0,-0,0,0.019941278267240372,0,0.021934197010161628,0,0.45786535066522377,0,-0,0,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08157050430804376,0,0,0,-0,0,-0,0,0,0,-0,0,0,0.021934197010161628,0,0.11243685697374615,0.04623079069153736,0,-0,0.07808215981166396,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075610518382495115,0,0,-0,0,-0,0,0,0,-0,0,0.37793518921793867,0,0.11243685697374615,0,0.028210808418814504,0.11629083211941481,-0,0.18393217056096742,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07864390179247947,0,-0,0,-0,0,0,0,-0,0,0.056019553179309865,0.45786535066522377,0.04623079069153736,0.028210808418814504,0,0,-0,0,-0,0,0,0,-0,0
0,0,0,0,0,0,0,0,0,0,0,0.009600371697355317,0,0,0,0,0,0.01840055990917797,-0,0,-0,0,0,0,-0,0,0,0,0,0.11629083211941481,0,0,-0,0,-0,0.028555662386702763,0.007143917404961611,0,-0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.11905629927944471,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0
0,0.02006657031617047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0.15033117846245225,-0,0,0,0,-0,0,0.01999601868295847,0,0.07808215981166396,0.18393217056096742,0,0,-0,0,-0,0,0,0,-0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.40911713047457987,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0.17541560451364246,0,0,-0,0,0,0,0,0,0,0.028555662386702763,-0,0,-0,0,0.09839926931265781,0.03293954544967507,-0,0.235342469916526
0,0,0,0,0,0,0,0,0.06610019035542096,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.14388429665635644,0,-0,0,0,0,0,0,0,0.007143917404961611,-0,0,-0,0.09839926931265781,0,0,-0,0
0,0,0,0,0,0,0,0,0.05251357543035819,0,0.028857570051246836,0.1499343801952075,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0.03293954544967507,0,0,-0,0.2724642547027554
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.3238985019750325,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0
0,0,0,0,0,0,0,0,0,0,0,0.031244166657146393,0,0,0,0,0,0,-0,0,-0,0.07219052171821665,0,0,-0,0.03866578926331611,0,0,0,0,0,0,-0,0,-0,0.235342469916526,0,0.2724642547027554,-0,0
